cycle,contestant,elimination-1,elimination-2,elimination-3,elimination-4,elimination-5,elimination-6,elimination-7,elimination-8,elimination-9,elimination-10,elimination-11,elimination-12,elimination-13
12,Celia,5.0,3.5,4.0,4.75,5.4,4.666666666666667,4.571428571428571,4.5,4.444444444444445,4.4,0,0,0
12,Fo,2.0,6.5,5.666666666666667,6.25,5.2,5.0,4.571428571428571,4.375,4.444444444444445,0,0,0,0
13,Amber,15.0,0,0,0,0,0,0,0,0,0,0,0,0
13,Laura,9.0,6.0,6.333333333333333,6.25,5.8,5.166666666666667,5.142857142857143,4.875,4.666666666666667,4.4,4.181818181818182,0,0
13,Sundai,12.0,9.5,7.666666666666667,7.5,7.2,7.166666666666667,6.714285714285714,6.375,6.222222222222222,0,0,0,0
13,Rae,1.0,4.5,6.0,5.25,4.4,4.666666666666667,5.0,0,0,0,0,0,0
13,Ashley,4.0,7.0,7.333333333333333,7.75,8.0,0,0,0,0,0,0,0,0
13,Bianca,13.0,12.0,10.0,10.0,0,0,0,0,0,0,0,0,0
13,Rachel,8.0,10.5,0,0,0,0,0,0,0,0,0,0,0
13,Lulu,7.0,8.0,9.0,0,0,0,0,0,0,0,0,0,0
13,Brittany,11.0,6.5,7.666666666666667,6.0,5.0,4.666666666666667,4.428571428571429,4.625,0,0,0,0,0
13,Jennifer,3.0,4.5,4.666666666666667,4.0,3.4,3.6666666666666665,3.2857142857142856,3.125,3.111111111111111,0,0,0,0
13,Erin,6.0,3.5,3.3333333333333335,3.75,4.4,4.333333333333333,4.571428571428571,4.625,4.555555555555555,0,0,0,0
13,Kara,10.0,7.5,5.333333333333333,6.0,6.4,6.666666666666667,0,0,0,0,0,0,0
13,Courtney,5.0,8.5,0,0,0,0,0,0,0,0,0,0,0
13,Lisa,14.0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nicole,2.0,3.0,2.6666666666666665,3.0,3.4,3.0,2.857142857142857,2.625,2.5555555555555554,2.4,2.272727272727273,0,0
14,Angelea,2.0,4.5,3.6666666666666665,4.25,3.8,3.3333333333333335,3.142857142857143,3.25,3.2222222222222223,3.2,0,0,0
14,Alasia,12.0,10.0,7.0,5.5,5.2,5.5,5.428571428571429,5.5,0,0,0,0,0
14,Jessica,1.0,5.5,4.666666666666667,5.25,4.4,4.666666666666667,4.571428571428571,4.625,4.666666666666667,0,0,0,0
14,Brenda,4.0,6.5,7.666666666666667,6.75,6.6,6.833333333333333,0,0,0,0,0,0,0
14,Krista,11.0,6.5,6.0,6.5,5.8,5.166666666666667,4.571428571428571,4.125,3.7777777777777777,3.5,3.272727272727273,0,0
14,Simone,5.0,5.0,6.0,7.0,0,0,0,0,0,0,0,0,0
14,Tatianna,6.0,5.0,5.666666666666667,5.0,5.8,0,0,0,0,0,0,0,0
14,Naduah,9.0,10.5,0,0,0,0,0,0,0,0,0,0,0
14,Ren,3.0,7.0,8.333333333333334,0,0,0,0,0,0,0,0,0,0
14,Alexandra,10.0,8.0,6.666666666666667,6.25,6.6,6.166666666666667,6.142857142857143,5.625,5.222222222222222,5.0,0,0,0
14,Raina,8.0,4.5,5.0,4.25,4.8,4.5,4.285714285714286,4.125,4.111111111111111,3.9,3.727272727272727,0,0
14,Anslee,7.0,5.0,6.333333333333333,7.0,6.6,6.333333333333333,6.428571428571429,0,0,0,0,0,0
14,Gabrielle,13.0,0,0,0,0,0,0,0,0,0,0,0,0
15,Esther,8.0,9.0,7.0,6.75,6.2,6.333333333333333,6.428571428571429,0,0,0,0,0,0
15,Chelsey,3.0,3.0,5.0,4.5,4.8,4.666666666666667,4.428571428571429,4.25,4.0,3.8,3.6363636363636362,0,0
15,Kacey,11.0,9.5,7.0,7.0,7.4,0,0,0,0,0,0,0,0
15,Lexie,5.0,8.0,7.333333333333333,8.0,0,0,0,0,0,0,0,0,0
15,Ann,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,2.0,2.25,2.3333333333333335,2.2,2.090909090909091,0,0
15,Sara,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0
15,Anamaria,14.0,0,0,0,0,0,0,0,0,0,0,0,0
15,Terra,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0
15,Kayla,2.0,2.0,3.6666666666666665,3.75,4.6,4.166666666666667,4.142857142857143,3.75,3.4444444444444446,3.4,0,0,0
15,Rhianna,10.0,7.5,8.666666666666666,0,0,0,0,0,0,0,0,0,0
15,Chris,9.0,6.5,5.666666666666667,4.75,4.8,4.833333333333333,4.285714285714286,4.375,4.444444444444445,0,0,0,0
15,Jane,7.0,7.0,7.333333333333333,7.75,6.6,6.5,5.857142857142857,5.375,5.222222222222222,5.0,0,0,0
15,Liz,6.0,6.0,7.333333333333333,6.75,6.8,5.833333333333333,5.714285714285714,5.75,0,0,0,0,0
15,Kendal,4.0,6.5,6.0,6.5,5.8,6.166666666666667,0,0,0,0,0,0,0
16,Ondrei,7.0,10.0,0,0,0,0,0,0,0,0,0,0,0
16,Alexandria,3.0,5.5,4.0,5.25,5.2,5.333333333333333,5.285714285714286,4.75,4.666666666666667,4.6,0,0,0
16,Dominique,13.0,9.5,10.0,0,0,0,0,0,0,0,0,0,0
16,Angelia,14.0,0,0,0,0,0,0,0,0,0,0,0,0
16,Hannah,6.0,3.5,4.333333333333333,3.75,3.2,3.5,3.4285714285714284,3.25,3.2222222222222223,3.2,3.1818181818181817,0,0
16,Mikaela,4.0,4.0,5.666666666666667,6.0,6.2,6.333333333333333,6.428571428571429,0,0,0,0,0,0
16,Sara,12.0,9.5,9.666666666666666,9.75,0,0,0,0,0,0,0,0,0
16,Molly,1.0,5.5,4.333333333333333,4.75,5.4,5.0,4.571428571428571,4.625,4.222222222222222,3.9,3.6363636363636362,3.5,0
16,Monique,8.0,5.5,6.0,5.75,5.4,5.833333333333333,0,0,0,0,0,0,0
16,Kasia,10.0,7.5,6.333333333333333,5.0,5.2,4.666666666666667,4.571428571428571,4.375,4.444444444444445,0,0,0,0
16,Jaclyn,11.0,10.0,8.333333333333334,7.0,6.2,5.833333333333333,5.142857142857143,5.25,0,0,0,0,0
16,Dalya,5.0,8.0,8.0,7.0,7.4,0,0,0,0,0,0,0,0
16,Brittani,2.0,2.0,2.3333333333333335,3.75,3.4,3.0,3.4285714285714284,3.5,3.3333333333333335,3.2,3.090909090909091,2.9166666666666665,0
16,Nicole,9.0,10.5,0,0,0,0,0,0,0,0,0,0,0
17,Bianca,8.0,5.0,4.0,5.0,5.6,5.166666666666667,0,0,0,0,0,0,0
17,Angelea,5.0,5.0,7.0,5.5,6.2,5.833333333333333,6.142857142857143,6.125,5.777777777777778,5.6,5.2727272727272725,5.083333333333333,0
17,Alexandria,13.0,8.0,7.666666666666667,8.0,7.4,7.666666666666667,7.142857142857143,7.125,0,0,0,0,0
17,Isis,1.0,5.0,7.333333333333333,0,0,0,0,0,0,0,0,0,0
17,Dominique,10.0,8.0,8.666666666666666,7.0,6.2,5.333333333333333,5.428571428571429,5.125,4.666666666666667,4.7,0,0,0
17,Kayla,12.0,12.0,9.666666666666666,8.5,8.0,7.666666666666667,0,0,0,0,0,0,0
17,Brittany,14.0,0,0,0,0,0,0,0,0,0,0,0,0
17,Camille,3.0,7.0,6.666666666666667,7.75,0,0,0,0,0,0,0,0,0
17,Laura,6.0,5.0,6.333333333333333,5.75,4.8,5.333333333333333,5.0,4.875,4.888888888888889,4.5,4.454545454545454,0,0
17,Allison,2.0,5.0,3.6666666666666665,3.5,3.6,3.8333333333333335,4.0,3.625,3.4444444444444446,3.3,3.272727272727273,3.1666666666666665,0
17,Sheena,11.0,12.0,0,0,0,0,0,0,0,0,0,0,0
17,Lisa,4.0,2.5,4.333333333333333,5.75,6.4,5.666666666666667,6.0,5.5,5.333333333333333,5.1,4.7272727272727275,4.416666666666667,0
17,Bre,7.0,8.5,7.0,7.0,7.6,0,0,0,0,0,0,0,0
17,Shannon,9.0,8.0,6.333333333333333,6.25,5.4,5.666666666666667,5.857142857142857,5.75,5.777777777777778,0,0,0,0
18,Mariah,7.0,10.0,0,0,0,0,0,0,0,0,0,0,0
18,Ashley,13.0,7.5,8.0,8.5,0,0,0,0,0,0,0,0,0
18,Louise,10.0,9.5,9.0,0,0,0,0,0,0,0,0,0,0
18,Candace,6.0,5.5,7.333333333333333,0,0,0,0,0,0,0,0,0,0
18,Catherine,5.0,4.5,4.666666666666667,4.5,5.4,5.0,5.142857142857143,4.875,5.0,0,0,0,0
18,Kyle,2.0,4.0,4.0,3.75,4.2,4.833333333333333,5.285714285714286,0,0,0,0,0,0
18,Eboni,9.0,6.0,7.0,6.75,5.6,5.833333333333333,5.428571428571429,5.5,5.333333333333333,5.3,0,0,0
18,Annaliese,12.0,10.0,9.0,8.0,8.0,7.333333333333333,6.857142857142857,6.625,6.111111111111111,5.8,5.545454545454546,0,0
18,Laura,4.0,2.5,2.6666666666666665,2.5,3.0,3.5,3.7142857142857144,3.75,3.4444444444444446,3.2,3.090909090909091,3.0,0
18,Jasmia,14.0,0,0,0,0,0,0,0,0,0,0,0,0
18,Seymone,1.0,6.5,7.666666666666667,0,6.75,6.4,5.666666666666667,5.857142857142857,0,0,0,0,0
18,Alisha,11.0,10.5,10.0,9.25,8.8,7.5,7.428571428571429,6.625,6.444444444444445,6.2,0,0,0
18,AzMarie,8.0,9.5,6.666666666666667,5.25,4.6,5.333333333333333,0,0,0,0,0,0,0
18,Sophie,3.0,5.0,4.0,5.25,4.8,4.333333333333333,3.857142857142857,3.625,3.5555555555555554,3.4,3.1818181818181817,3.0,0
19,Darian,10.0,10.5,0,0,0,0,0,0,0,0,0,0,0
19,Destiny,12.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0
19,Jessie,13.0,0,0,0,0,0,0,0,0,0,0,0,0
19,Allyssa,8.0,5.5,5.0,5.5,5.0,5.333333333333333,0,0,0,0,0,0,0
19,Brittany,3.0,2.5,2.6666666666666665,4.0,3.6,3.3333333333333335,3.7142857142857144,0,0,0,0,0,0
19,Kiara,6.0,7.5,6.666666666666667,6.0,5.8,5.666666666666667,5.285714285714286,5.25,4.888888888888889,4.5,4.2727272727272725,0,0
19,Laura,4.0,4.5,3.3333333333333335,3.0,2.6,3.1666666666666665,2.857142857142857,2.75,2.888888888888889,2.9,2.727272727272727,0,0
19,Leila,1.0,2.5,2.3333333333333335,4.0,0,0,0,3.8,3.3333333333333335,3.142857142857143,3.125,0,0
