cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
16,Molly,1,10,2,6,8,3,2,5,1,1,1,2,0
16,Monique,8,3,7,5,4,8,0,0,0,0,0,0,0
16,Kasia,10,5,4,1,6,2,4,3,5,0,0,0,0
16,Jaclyn,11,9,5,3,3,4,1,6,0,0,0,0,0
16,Dalya,5,11,8,4,9,0,0,0,0,0,0,0,0
16,Brittani,2,2,3,8,2,1,6,4,2,2,2,1,0
16,Nicole,9,12,0,0,0,0,0,0,0,0,0,0,0
17,Bianca,8,2,2,8,8,3,0,0,0,0,0,0,0
17,Angelea,5,5,11,1,9,4,8,6,3,4,2,3,0
17,Alexandria,13,3,7,9,5,9,4,7,0,0,0,0,0
17,Isis,1,9,12,0,0,0,0,0,0,0,0,0,0
17,Dominique,10,6,10,2,3,1,6,3,1,5,0,0,0
17,Kayla,12,12,5,5,6,6,0,0,0,0,0,0,0
17,Brittany,14,0,0,0,0,0,0,0,0,0,0,0,0
17,Camille,3,11,6,11,0,0,0,0,0,0,0,0,0
17,Laura,6,4,9,4,1,8,3,4,5,1,4,0,0
17,Allison,2,8,1,3,4,5,5,1,2,2,3,2,0
17,Sheena,11,13,0,0,0,0,0,0,0,0,0,0,0
17,Lisa,4,1,8,10,9,2,8,2,4,3,1,1,0
17,Bre,7,10,4,7,7,10,0,0,0,0,0,0,0
17,Shannon,9,7,3,6,2,7,7,5,6,0,0,0,0
18,Mariah,7,13,0,0,0,0,0,0,0,0,0,0,0
18,Ashley,13,2,9,10,0,0,0,0,0,0,0,0,0
18,Louise,10,9,8,0,0,0,0,0,0,0,0,0,0
18,Candace,6,5,9,11,0,0,0,0,0,0,0,0,0
18,Catherine,5,4,5,4,9,3,6,3,6,0,0,0,0
18,Kyle,2,6,4,3,6,8,8,0,0,0,0,0,0
18,Eboni,9,3,9,6,1,7,3,6,4,5,0,0,0
18,Annaliese,12,8,7,5,8,4,4,5,2,3,3,0,0
18,Laura,4,1,3,2,5,6,5,4,1,1,2,2,0
18,Jasmia,14,0,0,0,0,0,0,0,0,0,0,0,0
18,Seymone,1,12,6,10,4,5,2,7,0,0,0,0,0
18,Alisha,11,10,9,7,7,1,7,1,5,4,0,0,0
18,AzMarie,8,11,1,1,2,9,0,0,0,0,0,0,0
18,Sophie,3,7,2,9,3,2,1,2,3,2,1,1,0
19,Darian,10,11,0,0,0,0,0,0,0,0,0,0,0
19,Destiny,12,8,10,0,0,0,0,0,0,0,0,0,0
19,Jessie,13,0,0,0,0,0,0,0,0,0,0,0,0
19,Allyssa,8,3,4,7,3,7,0,0,0,0,0,0,0
19,Brittany,3,2,3,8,2,2,6,0,0,0,0,0,0
19,Kiara,6,9,5,4,5,5,3,5,2,1,2,0,0
19,Laura,4,5,1,2,1,6,1,2,4,3,1,0,0
19,Leila,1,4,2,9,0,0,0,3,1,2,3,0,0
19,Kristin,5,7,8,3,4,3,2,4,5,0,0,0,0
19,Yvonne,7,10,9,6,8,0,0,0,0,0,0,0,0
19,Nastasia,2,6,6,1,6,1,4,1,3,4,0,0,0
19,Victoria,9,1,7,5,7,4,5,6,0,0,0,0,0
19,Maria,11,12,0,0,0,0,0,0,0,0,0,0,0
20,Renee,8,9,11,8,6,2,3,3,2,4,5,0,0
20,Chris H.,3,5,5,6,4,4,1,8,6,5,4,0,0
20,Mike,14,1,13,0,0,0,0,0,0,0,0,0,0
20,Don,2,13,4,3,5,6,6,2,8,0,0,0,0
20,Bianca,16,0,0,0,0,0,0,0,0,0,0,0,0
20,Marvin,1,10,6,10,2,7,7,7,7,2,2,2,2
20,Phil,13,11,3,4,9,8,8,0,0,0,0,0,0
20,Jiana,4,2,7,11,8,9,0,0,0,0,0,0,0
20,Jourdan,10,3,1,5,1,1,5,4,5,1,1,1,1
20,Nina,9,4,2,9,7,3,2,1,1,7,0,0,0
20,Kanani,11,8,9,2,10,0,0,0,0,0,0,0,0
20,Chlea,12,14,0,0,0,0,0,0,0,0,0,0,0
20,Jeremy,7,12,12,7,11,0,0,6,3,6,0,0,0
20,Alex,5,7,10,12,0,0,0,9,0,0,0,0,0
20,Cory,6,6,8,1,3,5,4,5,4,3,3,3,0
20,Chris S.,15,0,0,0,0,0,0,0,0,0,0,0,0
21,Raelia,11,4,2,3,9,7,2,7,7,0,0,0,0
21,Kari,9,12,8,9,10,0,0,0,0,0,0,0,0
21,Ben,7,1,9,11,0,0,0,0,0,0,0,0,0
21,Lenox,2,2,11,1,1,1,7,3,3,2,4,4,0
21,Ivy,14,0,0,0,0,0,0,0,0,0,0,0,0
21,Chantelle,6,13,0,0,0,0,0,1,6,6,0,0,0
21,Will,13,3,1,5,3,2,1,6,2,3,3,2,2
21,Matthew,4,6,5,7,5,9,0,0,0,0,0,0,0
21,Denzel,5,9,7,8,4,6,8,0,0,0,0,0,0
21,Adam,10,11,10,6,2,5,6,4,5,5,1,1,3
21,Mirjana,3,7,4,2,6,8,5,8,0,0,0,0,0
21,Shei,12,10,6,4,8,3,4,2,4,4,5,0,0
21,Keith,1,5,3,10,7,4,3,5,1,1,2,3,1
21,Romeo,8,8,12,0,0,0,0,0,0,0,0,0,0
22,Devin,1,4,3,6,9,7,6,2,3,5,0,0,0
22,Bello,7,3,6,9,4,8,0,0,0,0,0,0,0
22,Ashley,8,11,5,7,10,0,0,0,0,0,0,0,0
22,Justin,2,6,10,5,6,3,7,0,0,0,0,0,0
22,Hadassah,10,12,11,4,7,5,2,6,6,0,0,0,0
22,Mikey,4,2,4,8,5,4,5,1,2,1,3,3,0
22,Stefano,13,13,0,0,0,0,0,0,0,0,0,0,0
22,Mamé,6,9,2,3,2,6,4,4,1,2,1,1,2
22,Delanie,14,0,0,0,0,0,0,0,0,0,0,0,0
22,Courtney,9,5,9,10,8,9,0,0,0,0,0,0,0
22,Dustin,12,10,12,0,0,0,0,7,0,0,0,0,0
22,Ava,5,1,8,11,0,0,0,0,0,0,0,0,0
22,Nyle,11,7,7,1,3,2,1,5,4,4,2,1,1
22,Lacey,3,8,1,2,1,1,3,3,5,3,3,3,0
23,Cory Anne,13,2,11,1,1,3,6,4,6,4,3,3,3
23,Tatiana,5,8,4,4,3,4,1,5,5,3,4,2,2
23,Paige,7,9,3,7,6,2,5,2,7,0,0,0,0
23,Justine,14,0,0,0,0,0,0,0,0,0,0,0,0
